BE0974269012;ADC SIIC;ALDV
BE0974278104;Abo Group;ABO
BE0974280126;Bone Therapeutics;BOTHE
BE0974289218;Asit;ASIT
BMG9887P1068;ZCI Limited;CV
CH0008175645;Televerbier;TVRB
CH0308403085;GeNeuro;GNRO
CI0000053161;Forestiere Equatoriale;FORE
FR0000031973;Fayenc.Sarreguemi.;FAYE
FR0000033003;Touax;TOUP
FR0000035123;Finatis;FNTS
FR0000035719;Elect. Madagascar;EEM
FR0000035784;Evergreen;EGR
FR0000037475;CFI;CFI
FR0000037970;Musee Grevin;GREV
FR0000038184;Fipp;FIPP
FR0000038465;Passat;PSAT
FR0000038499;Fonciere Euris;EURS
FR0000039232;Aurea;AURE
FR0000044323;Crcam Alp.Prov.Cci;CRAP
FR0000044364;Crcam Norm.Seine;CCN
FR0000045239;Crcam Loire Hte L.;CRLO
FR0000045304;Crcam Touraine Cci;CRTO
FR0000045346;Crcam Sud R.A.Cci;CRSU
FR0000045544;Credit Agricole Toulouse 31;CAT31
FR0000045551;Crcam Morbihan Cci;CMO
FR0000050395;Crosswood;CROS
FR0000053035;Gea Grenobl.Elect.;GEA
FR0000053043;Advini;ADVI
FR0000053399;CNIM Group;COM
FR0000053944;Fonciere Volta;SPEL
FR0000054199;St Dupont;DPT
FR0000054231;High Co;HCO
FR0000054322;Cibox Inter A Ctiv;CIB
FR0000060121;Saint Jean Groupe;SABE
FR0000060196;M.R.M;MRM
FR0000060824;Financiere Marjos;FINM
FR0000060873;Marie Brizard Wine and Spirits;MBWS
FR0000060907;Chausseria;CHSR
FR0000061418;Fiducial Office Solutions;SACI
FR0000061475;Eurasia Fonciere Inv.;EFI
FR0000061780;Augros Cosmetics;AUGR
FR0000062341;Fin.Etang Berre;BERR
FR0000062465;Alan Allman Associates;AAA
FR0000062507;Fin.Etang Berre Pf;EBPF
FR0000062788;Barbara Bui;BUI
FR0000062796;Vranken Monopole;VRAP
FR0000062978;Dekuple;DKUPL
FR0000063034;Fauvet Girel;FAUV
FR0000063307;Tayninh;TAYN
FR0000064156;Carpinienne Part.;CARP
FR0000064362;Fonciere Altand;FATL
FR0000064404;Media 6;EDI
FR0000064446;CIS (Catering Intl Sces);CTRG
FR0000064602;Acanthe Dev.;ACAN
FR0000064958;Intexa;ITXT
FR0000065260;Dock.Petr.Ambes Am;DPAM
FR0000065278;Hopscotch Groupe;HOP
FR0000065393;Courtois;COUR
FR0000065492;Selcodis;SLCO
FR0000065765;Visiodent;SDT
FR0000065864;Sogeclair;SOG
FR0000065930;Fonciere 7 Investissement;LEBL
FR0000065971;Graines Voltz;GRVO
FR0000066219;Groupe CIFE;INFE
FR0000066482;Tipiak;TIPI
FR0000066607;Lacroix Industries;LACR
FR0000066722;Guillemot;GUI
FR0000072373;Egide;GID
FR0000072894;Cast;CAS
FR0000073041;Pierre Vacances;VAC
FR0000074197;Union Tech.Infor.;FPG
FR0000074254;Bourse Direct;BSD
FR0000074783;Artmarket.com;PRC
FR0000075392;Orapi;ORAP
FR0000076655;Actia Group;ATI
FR0000076861;Acteos;EOS
FR0000077570;Micropole;MUN
FR0000078321;Soditech Ing.;SEC
FR0000120388;Recylex;RX
FR0000120669;Esso;ES
FR0000121295;Lebon;LBON
FR0000124232;Groupe IRD;IRD
FR0000185506;Crcam Atl.Vend.Cci;CRAV
FR0004010338;Groupe Jaj;GJAJ
FR0004016699;Smtpc;SMTPC
